Genotype	Pop	Sex	Sample	TGA.Plate	TGA	TGA.Prot	Protein	TGA.CanS
FFD6	FFD	M	C3	07082017-1	1.247	0.155875	8	0.795280612244898
FFD6	FFD	M	D3	07082017-1	1.608	0.182519863791146	8.81	0.931223794852786
FFD6	FFD	M	E3	07082017-1	1.387	0.14723991507431	9.42	0.751224056501582
FFD6	FFD	M	F3	07082017-1	1.197	0.1995	6	1.01785714285714
PC136	PC	M	A2	07082017-1	0.662	0.0982195845697329	6.74	0.501120329437413
PC136	PC	M	B2	07082017-1	1.055	0.132040050062578	7.99	0.673673724809071
PC136	PC	M	C2	07082017-1	0.673	0.0825766871165644	8.15	0.421309628145737
PC136	PC	M	D2	07082017-1	0.759	0.098062015503876	7.74	0.50031640563202
PC136	PC	M	E2	07082017-1	0.688	0.084004884004884	8.19	0.428596346963694
PC136	PC	M	F2	07082017-1	0.633	0.0995283018867925	6.36	0.507797458606084
PC189	PC	M	A2	07082017-1	1.08	0.146938775510204	7.35	0.749687630154102
PC189	PC	M	B2	07082017-1	0.757	0.0957016434892541	7.91	0.488273691271705
PC189	PC	M	C2	07082017-1	0.957	0.127260638297872	7.52	0.64928897090751
PC189	PC	M	D2	07082017-1	1.57	0.189842805320435	8.27	0.968585741430791
PC189	PC	M	E2	07082017-1	0.995	0.14378612716763	6.92	0.733602689630765
PC189	PC	M	F2	07082017-1	1.055	0.152017291066282	6.94	0.775598423807561
FFD10	FFD	M	A2	11172017-1	2.158	0.288502673796791	7.48	1.51843512524627
FFD10	FFD	M	B2	11172017-1	1.597	0.256340288924559	6.23	1.34915941539242
FFD10	FFD	M	C2	11172017-1	1.446	0.222461538461538	6.5	1.17085020242915
FFD10	FFD	M	D2	11172017-1	1.334	0.203975535168196	6.54	1.07355544825366
FFD10	FFD	M	E2	11172017-1	1.282	0.139347826086957	9.2	0.733409610983984
FFD10	FFD	M	F2	11172017-1	1.23	0.178260869565217	6.9	0.938215102974826
FFD2	FFD	M	A2	11172017-1	1.714	0.189811738648948	9.03	0.999009150783937
FFD2	FFD	M	B2	11172017-1	1.587	0.190287769784173	8.34	1.00151457781144
FFD2	FFD	M	C2	11172017-1	1.882	0.213863636363636	8.8	1.1255980861244
FFD2	FFD	M	D2	11172017-1	1.98	0.215686274509804	9.18	1.13519091847265
FFD2	FFD	M	E2	11172017-1	1.668	0.178778135048232	9.33	0.940937552885432
FFD2	FFD	M	F2	11172017-1	1.356	0.145337620578778	9.33	0.764934845151463
PC113	PC	M	A4	11172017-1	1.763	0.405729890698194	4.34525540370262	2.13542047735892
