Genotype	Pop	Sex	Sample	Glu-Plate	Glucose	Protein-Plate	Protein	Glu-Pro	Glu-CanS
PC12	PC	M	B3	08162017-2	0.4559	08142017-12	7.24	0.0629696132596685	1.90817009877783
PC12	PC	M	C3	08162017-2	0.506	08142017-12	7.81	0.0647887323943662	1.9632949210414
PC12	PC	M	D3	08162017-2	0.3754	08142017-12	6.3	0.0595873015873016	1.80567580567581
PC12	PC	M	E3	08162017-2	0.3933	08142017-12	5.6	0.0702321428571429	2.12824675324675
PC12	PC	M	F3	08162017-2	0.4263	08142017-12	5.4	0.0789444444444444	2.39225589225589
PC12	PC	M	A4	12242017-2	0.454	08112017-7	8.08	0.0561881188118812	1.56078107810781
PC12	PC	M	B4	12242017-2	0.468	08112017-7	7.36	0.0635869565217391	1.76630434782609
PC12	PC	M	C4	12242017-2	0.336	08112017-7	8.46	0.0397163120567376	1.10323089046493
PC12	PC	M	D4	12242017-2	0.564	08112017-7	8.2	0.068780487804878	1.91056910569106
PC12	PC	M	E4	12242017-2	0.35	08112017-7	6.81	0.0513950073421439	1.42763909283733
PC12	PC	M	F4	12242017-2	0.502	08112017-7	6.92	0.0725433526011561	2.01509312780989
PC136	PC	M	A2	9202018	0.375761176295856	12062017-3	6.74	0.0557509163643703	1.92244539187484
PC136	PC	M	B2	9202018	0.37160255458191	12062017-3	7.99	0.0465084548913529	1.60373982383976
PC136	PC	M	C2	9202018	0.403386306252785	12062017-3	8.15	0.0494952523009552	1.70673283796397
PC136	PC	M	D2	9202018	0.412891727313233	12062017-3	7.74	0.0533451844073944	1.83948911749636
PC136	PC	M	E2	9202018	0.397445418090004	12062017-3	8.19	0.0485281340769236	1.67338393368702
PC136	PC	M	F2	9202018	0.284865587405317	12062017-3	6.36	0.0447901866989492	1.54448919651549
PC136	PC	M	A3	08162017-2	0.265	08142017-8	8.74	0.0303203661327231	0.918798973718882
PC136	PC	M	B3	08162017-2	0.333	08142017-8	7.6	0.0438157894736842	1.32775119617225
PC136	PC	M	C3	08162017-2	0.279	08142017-8	7.8	0.0357692307692308	1.08391608391608
PC136	PC	M	D3	08162017-2	0.276	08142017-8	8.5	0.0324705882352941	0.983957219251336
PC136	PC	M	E3	08162017-2	0.333	08142017-8	9.23	0.0360780065005417	1.09327292425884
PC136	PC	M	F3	08162017-2	0.302	08142017-8	7.5	0.0402666666666667	1.22020202020202
PC136	PC	M	A4	11082017-2	0.376	08112017-3	6.5	0.0578461538461538	1.65274725274725
PC136	PC	M	B4	11082017-2	0.332	08112017-3	7.1	0.0467605633802817	1.33601609657948
PC136	PC	M	C4	11082017-2	0.561	08112017-3	4	0.14025	4.00714285714286
PC136	PC	M	D4	11082017-2	0.581	08112017-3	6.81	0.0853157121879589	2.43759177679883
PC136	PC	M	E4	11082017-2	0.58	08112017-3	7	0.0828571428571429	2.36734693877551
PC136	PC	M	F4	11082017-2	0.428	08112017-3	7.1	0.0602816901408451	1.72233400402415
PC141	PC	M	A3	9202018	0.367740977276103	12042017-1	8.1	0.0454001206513707	1.5655214017714
PC141	PC	M	B3	9202018	0.506757760285163	12042017-1	10.2	0.0496821333612905	1.71317701245829
PC141	PC	M	C3	9202018	0.367740977276103	12042017-1	8.92	0.0412265669592044	1.42160575721394
PC141	PC	M	D3	9202018	0.472003564532898	12042017-1	10.21	0.0462295361932319	1.59412193769765
PC141	PC	M	E3	9202018	0.439922768453884	12042017-1	8.72	0.0504498587676472	1.73965030233266
PC141	PC	M	F3	9202018	0.398633595722561	12042017-1	10.2	0.0390817250708393	1.34764569209791
PC141	PC	M	A2	02222019-2	0.222923092919281	06152017-4	7.17	0.0310910868785608	0.962572349181449
PC141	PC	M	B2	02222019-2	0.231518386302984	06152017-4	7.8	0.0296818443978185	0.918942551016053
PC141	PC	M	C2	02222019-2	0.238727342044155	06152017-4	9.57	0.0249453857935376	0.772302965744198
PC141	PC	M	D2	02222019-2	0.19630541018265	06152017-4	11.6	0.0169228801881595	0.523928179199984
PC141	PC	M	E2	02222019-2	0.242886354971753	06152017-4	8.11	0.0299489956808573	0.927213488571433
PC141	PC	M	F2	02222019-2	0.246490832842339	06152017-4	8.4	0.0293441467669451	0.908487516004492
PC141	PC	M	A1	02222019-3	0.590087122044074	06122017-2	5	0.118017424408815	3.22451979259057
PC141	PC	M	B1	02222019-3	0.504575737608903	06122017-2	6.6	0.0764508693346823	2.08882156652137
PC141	PC	M	C1	02222019-3	0.78014495936745	06122017-2	5.73	0.136150952769188	3.71997138713628
PC141	PC	M	D1	02222019-3	0.597993996632257	06122017-2	5.77	0.103638474286353	2.83165230290582
PC141	PC	M	E1	02222019-3	0.497840251848598	06122017-2	6.28	0.0792739254535984	2.16595424736608
PC141	PC	M	F1	02222019-3	0.397686507064939	06122017-2	6.23	0.0638341102832968	1.74410137386057
PC155	PC	M	A3	9202018	0.35348284568543	07112017-2	8.5	0.0415862171394624	1.43400748756767
PC155	PC	M	B3	9202018	0.338036536462201	07112017-2	8.65	0.0390793683771331	1.34756442679769
PC155	PC	M	C3	9202018	0.297935541363434	07112017-2	8.1	0.036782165600424	1.26835053794566
PC155	PC	M	D3	9202018	0.319619783157582	07112017-2	8.8	0.0363204299042707	1.25242861738864
PC155	PC	M	E3	9202018	0.270013366998366	07112017-2	8.1	0.0333349835800452	1.14948219241535
PC155	PC	M	F3	9202018	0.330016337442448	07112017-2	8.48	0.038917020924817	1.34196623878679
PC155	PC	M	A2	02222019-2	0.19547360759713	06112017-2	6.9	0.0283295083474101	0.877074561839322
PC155	PC	M	B2	02222019-2	0.188819186912973	06112017-2	6.8	0.0277675274872019	0.859675773597582
PC155	PC	M	C2	02222019-2	0.147229057636987	06112017-2	7.7	0.0191206568359723	0.591970799875303
PC155	PC	M	D2	02222019-2	0.153606210792639	06112017-2	8	0.0192007763490799	0.594451280157272
PC155	PC	M	E2	02222019-2	0.124215852770942	06112017-2	7.9	0.0157235256672078	0.486796460285071
PC155	PC	M	F2	02222019-2	0.141960974595363	06112017-2	7.7	0.01843649020719	0.570789170501238
PC155	PC	M	A4	11082017-1	0.184	08112017-2	7.54	0.0244031830238727	0.78719945238299
PC155	PC	M	B4	11082017-1	0.067	08112017-2	8.17	0.00820073439412485	0.264539819165318
PC155	PC	M	C4	11082017-1	0.264	08112017-2	6.25	0.04224	1.36258064516129
PC155	PC	M	D4	11082017-1	0.231	08112017-2	8.54	0.0270491803278689	0.872554204124803
PC155	PC	M	E4	11082017-1	0.324	08112017-2	6.95	0.0466187050359712	1.50382919470875
PC155	PC	M	F4	11082017-1	0.169	08112017-2	6.6	0.0256060606060606	0.826001955034213
PC167	PC	M	A1	02222019-2	0.32634388105223	06122017-1	6.68	0.0488538744090165	1.51250385167234
PC167	PC	M	B1	02222019-2	0.486049977472013	06122017-1	8.96	0.05424664927143	1.67946282574087
PC167	PC	M	C1	02222019-2	0.352961563788861	06122017-1	8.1	0.0435755017023285	1.34908674001017
PC167	PC	M	D1	02222019-2	0.35379336637438	06122017-1	8.22	0.0430405555199976	1.33252493869962
PC167	PC	M	E1	02222019-2	0.319412192839566	06122017-1	6.94	0.0460248116483524	1.42491676929884
PC167	PC	M	F1	02222019-2	0.305271548885731	06122017-1	7.48	0.0408117043964881	1.26352025995319
PC167	PC	M	A2	08162017-2	0.322	08112017-6	7.05	0.0456737588652482	1.38405329894692
PC167	PC	M	B2	08162017-2	0.264	08112017-6	6.82	0.0387096774193548	1.17302052785924
PC167	PC	M	C2	08162017-2	0.316	08112017-6	8.21	0.038489646772229	1.16635293249179
PC167	PC	M	D2	08162017-2	0.283	08112017-6	10.38	0.0272639691714836	0.826180883984351
PC167	PC	M	E2	08162017-2	0.305	08112017-6	8.7	0.0350574712643678	1.06234761407175
PC167	PC	M	F2	08162017-2	0.287	08112017-6	7.1	0.0404225352112676	1.22492530943235
PC189	PC	M	A5	06052019-1	0.395329054210811	04182019-1	9.06753230220864	0.0435983066875337	1.15339435681306
PC189	PC	M	B5	06052019-1	0.589900239733973	04182019-1	10.2997899560817	0.0572730358822177	1.51515967942375
PC189	PC	M	C5	06052019-1	0.380171680457815	04182019-1	10.4958309464706	0.0362212084394951	0.95823302749987
PC189	PC	M	D5	06052019-1	0.428427809140824	04182019-1	11.1794284259436	0.0383228724061233	1.0138326033366
PC189	PC	M	E5	06052019-1	0.301600804268811	04182019-1	8.0274966583922	0.0375709660312979	0.993940900298886
PC189	PC	M	F5	06052019-1	NA	NA	NA	NA	NA
PC189	PC	M	A2	07112017-1	0.276	06272017-2	7.35	0.0375510204081633	1.50204081632653
PC189	PC	M	B2	07112017-1	0.246	06272017-2	7.91	0.0310998735777497	1.24399494310999
PC189	PC	M	C2	07112017-1	0.258	06272017-2	7.52	0.0343085106382979	1.37234042553192
PC189	PC	M	D2	07112017-1	0.43	06272017-2	8.27	0.0519951632406288	2.07980652962515
PC189	PC	M	E2	07112017-1	0.358	06272017-2	6.92	0.0517341040462428	2.06936416184971
PC189	PC	M	F2	07112017-1	0.32	06272017-2	6.94	0.0461095100864553	1.84438040345821
PC189	PC	M	A3	11082017-2	0.413	08142017-1	6.4	0.06453125	1.84375
PC189	PC	M	B3	11082017-2	0.555	08142017-1	7.1	0.078169014084507	2.23340040241449
