Genotype	Pop	Sex	Sample	TGA.Plate	TGA.Raw	Prot.Plate	Protein	TGA.Protein
FFD4	FFD	F	E4	6102016	2.35788522367826	6092016	10.2543539894694	0.229939909047383
FFD4	FFD	F	F4	6102016	2.31812019882512	6092016	8.78898339408668	0.263752938751116
FFD4	FFD	F	A5	6162016	2.24460431654676	6162016	10.1969793660923	0.220124434497796
FFD4	FFD	F	B5	6162016	2.42971028582539	6162016	9.80046798553499	0.247917782029545
FFD4	FFD	F	C5	6162016	2.07349795839004	6162016	9.80557328228037	0.211461165879721
FFD4	FFD	F	D5	6162016	1.94361267742563	6162016	10.0948734311849	0.192534625686486
FFD4	FFD	F	E5	6162016	1.77561734396267	6162016	9.51372048500319	0.186637535416521
FFD4	FFD	F	F5	6162016	2.23060470542485	6162016	9.33333333333334	0.23899336129552
FFD6	FFD	F	A2	3092016	2.38598009519689	3092016-2	8.6021186021186	0.277371215808306
FFD6	FFD	F	B2	3092016	1.7914322803981	3092016-2	7.60518760518761	0.235553989381687
FFD6	FFD	F	C2	3092016	2.06057983556902	3092016-2	8.43381843381844	0.244323475984067
FFD6	FFD	F	D2	3092016	1.14582431847685	3092016-2	8.84268884268885	0.129578721909255
FFD6	FFD	F	E2	3092016	1.64430982258762	3092016-2	9.5980595980596	0.171316900649382
FFD6	FFD	F	F2	3092016	1.02120294244916	3092016-2	9.54162954162954	0.107026052310427
FFD6	FFD	F	A4	6082016	2.47009117189237	6082016-2	11.4274478961856	0.216154227464635
FFD6	FFD	F	B4	6082016	2.84545252390483	6082016-2	11.3042338445406	0.251715645928455
FFD6	FFD	F	C4	6082016	2.90949521903491	6082016-2	9.98732905142657	0.291318650267093
FFD6	FFD	F	D4	6082016	2.49588614631977	6082016-2	11.1827675099401	0.223190381459797
FFD6	FFD	F	E4	6082016	2.01823437847454	6082016-2	10.1131646786385	0.199565066189176
FFD6	FFD	F	F4	6082016	2.49143873693574	6082016-2	9.72604535325731	0.256161538060414
FFD6	FFD	F	A3	06082016-2	2.6056043496445	6082016	8.42176697629045	0.309389271512734
FFD6	FFD	F	B3	06082016-2	2.27519866164785	6082016	7.8788649955465	0.288772388273424
FFD6	FFD	F	C3	06082016-2	2.7745713090757	6082016	11.5799295923994	0.239601742561269
FFD6	FFD	F	D3	06082016-2	2.48515265579256	6082016	9.28532043941129	0.267643176345793
FFD6	FFD	F	E3	06082016-2	1.88289418653283	6082016	7.83305764092124	0.240377930668641
FFD6	FFD	F	F3	06082016-2	2.6900878293601	6082016	7.4615090978496	0.360528653665434
PC113	PC	F	A2	3042016	2.21714797403179	3042016	6.78127398311589	0.326951540308219
PC113	PC	F	B2	3042016	2.06223416162973	3042016	7.14146840624201	0.288768925985478
