Genotype	Pop	Sex	Sample	Kit	Glu-Plate	Glu	Prot-Plate	Protein	GluNorm	Glu.CanS
FFD4	FFD	F	B5	HK	05282019-1	0.4446875	04292019-3	14.589658151302	0.0304796380688547	0.703917738310732
FFD4	FFD	F	C5	HK	05282019-1	0.5171875	04292019-3	16.0903369122547	0.0321427390128855	0.742326536094353
FFD4	FFD	F	D5	HK	05282019-1	0.3834375	04292019-3	12.6385289398988	0.0303387761204961	0.700664575531088
FFD4	FFD	F	E5	HK	05282019-1	0.34	04292019-3	13.0741700604714	0.026005474797055	0.600588332495497
FFD4	FFD	F	F5	HK	05282019-1	0.3209375	04292019-3	9.64704430457855	0.0332679616540872	0.768313202172915
FFD6	FFD	F	A5	HK	05282019-1	0.8440625	04292019-2	12.7763376537055	0.0660645110420354	1.52573928503546
FFD6	FFD	F	B5	HK	05282019-1	0.6125	04292019-2	10.4978398138917	0.0583453368367732	1.34746736343587
FFD6	FFD	F	C5	HK	05282019-1	0.61875	04292019-2	12.7816550348953	0.0484092238689548	1.11799593230842
FFD6	FFD	F	D5	HK	05282019-1	0.4915625	04292019-2	6.37155201063476	0.0771495703369497	1.78174527337066
FFD6	FFD	F	E5	HK	05282019-1	1.0203125	04292019-2	12.8295114656032	0.0795285543596518	1.83668716765939
FFD6	FFD	F	F5	HK	05282019-1	0.884375	04292019-2	12.7018943170489	0.0696254415227627	1.60797786426704
PC113	PC	F	A5	HK	05282019-1	0.7109375	04292019-1	7.81082529474813	0.0910195111492281	2.10206723208379
PC113	PC	F	B5	HK	05282019-1	0.6090625	04292019-1	10.5921757770632	0.0575011699974705	1.32797159347507
PC113	PC	F	C5	HK	05282019-1	0.6796875	04292019-1	13.4096998928189	0.0506862573683683	1.17058331104777
PC113	PC	F	D5	HK	05282019-1	0.7415625	04292019-1	11.0999464094319	0.0668077549788777	1.54290427202951
PC113	PC	F	E5	HK	05282019-1	0.6340625	04292019-1	10.9472132904609	0.057919991433117	1.33764414395189
PC113	PC	F	F5	HK	05282019-1	0.3971875	04292019-1	5.79448017148982	0.068545838150289	1.58304476097665
PC167	PC	F	A5	HK	05282019-1	0.7384375	04292019-4	10.5009560229445	0.0703209782410783	1.62404106792329
PC167	PC	F	B5	HK	05282019-1	0.8946875	04292019-4	12.3709369024857	0.0723217252704789	1.6702476967778
PC167	PC	F	C5	HK	05282019-1	0.6409375	04292019-4	12.1784576163161	0.0526287909514341	1.21544551850887
PC167	PC	F	D5	HK	05282019-1	0.6515625	04292019-4	14.257488846399	0.0456996675234689	1.05541957329027
PC167	PC	F	E5	HK	05282019-1	0.5696875	04292019-4	11.7845761631612	0.0483417894808006	1.11643855613858
PC167	PC	F	F5	HK	05282019-1	0.884375	04292019-4	11.151051625239	0.0793086634087792	1.83160885470622
PC200	PC	F	A5	HK	05282019-1	0.6903125	04292019-3	10.2715043810934	0.0672065623873605	1.55211460478893
PC200	PC	F	B5	HK	05282019-1	0.690625	04292019-3	10.707145501666	0.0645013182918399	1.48963783583926
PC200	PC	F	C5	HK	05282019-1	0.5828125	04292019-3	12.8643712205356	0.0453043907089409	1.04629077849748
PC200	PC	F	D5	HK	05282019-1	0.583125	04292019-3	11.7363939281747	0.0496851932176658	1.14746404659736
PC200	PC	F	E5	HK	05282019-1	0.519375	04292019-3	12.3188942367025	0.0421608457723902	0.97369158827691
PC200	PC	F	F5	HK	05282019-1	0.4984375	04292019-3	14.2638528939899	0.0349440998658937	0.807023091591079
PC85	PC	F	A5	HK	05282019-1	0.7065625	04292019-2	17.4961255980055	0.0403839407783256	0.93265452143939
PC85	PC	F	B5	HK	05282019-1	0.62875	04292019-2	11.59	0.0542493528904228	1.25287189123378
PC85	PC	F	C5	HK	05282019-1	0.601875	04292019-2	12.4816387035914	0.0482208317587994	1.11364507526096
PC85	PC	F	D5	HK	05282019-1	0.8028125	04292019-2	13.1918334344047	0.0608567796123199	1.40546835132379
PC85	PC	F	E5	HK	05282019-1	1.1428125	04292019-2	11.0935920760057	0.103015550974854	2.37911203175182
PC85	PC	F	F5	HK	05282019-1	0.65375	04292019-2	11.0518159153696	0.0591531749176929	1.36612413204833
FFD14	FFD	M	A5	HK	05282019-2	0.254326673104063	04292019-1	8.83842443729903	0.0287751142647981	0.655469573230025
FFD14	FFD	M	B5	HK	05282019-2	0.367228700883904	04292019-1	11.8274383708467	0.0310488788332291	0.70726375474326
FFD14	FFD	M	C5	HK	05282019-2	0.290871276832801	04292019-1	9.63692390139335	0.0301830002819412	0.687539869748091
FFD14	FFD	M	D5	HK	05282019-2	0.261457327490158	04292019-1	8.46061093247588	0.0309028898240149	0.703938264783938
FFD14	FFD	M	E5	HK	05282019-2	0.230557825150412	04292019-1	7.60852090032154	0.030302581562294	0.690263816908747
FFD14	FFD	M	F5	HK	05282019-2	0.313154571789349	04292019-1	7.5	0.0417539429052465	0.951114872556868
FFD16	FFD	M	A5	HK	05282019-2	0.407932853004531	04292019-6	8.01575931232092	0.0508913550307708	1.15925637883305
FFD16	FFD	M	B5	HK	05282019-2	0.241550917328976	04292019-6	8.3142311365807	0.0290527065414633	0.661792859714426
FFD16	FFD	M	C5	HK	05282019-2	0.196092995617619	04292019-6	8.35243553008596	0.0234773432145966	0.534791417188989
FFD16	FFD	M	D5	HK	05282019-2	0.209760083190968	04292019-6	7.6158070678128	0.0275427254555189	0.627396935205442
FFD16	FFD	M	E5	HK	05282019-2	0.155685954096412	04292019-6	7.3292741165234	0.0212416607185461	0.483864708850708
FFD16	FFD	M	F5	HK	05282019-2	0.231746267548095	04292019-6	6.58070678127985	0.0352160148218948	0.802187125783481
FFD29	FFD	M	A5	HK	05282019-2	0.323850553368491	04292019-6	10.2825735531846	0.031495087459714	0.71742796035795
